Player,09/10vs. LAR,09/17vs. ARI,09/24vs. CLE,10/01vs. SEA,10/08vs. SFO,10/16vs. TEN,10/22vs. JAX,10/29vs. CIN,11/05vs. HOU,11/12vs. PIT,11/26vs. TEN,12/03vs. JAX,12/10vs. BUF,12/14vs. DEN,12/23vs. BAL,12/31vs. HOU
Kamar Aiken,,,Q,,,,,Q,,O,,,,,,
Henry Anderson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Deyshawn Bond,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Bostic,,,,,,Q,,,,,,,,,IR,IR
Quan Bray,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Chris Briggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darius Butler,,O,Q,,,,,Q,,,,,,,,
Anthony Castonzo,,,,,,,,,Q,,,,,,,
Chris Culliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darrell Daniels,,,,,,,Q,,,,O,O,O,O,,
Vontae Davis,O,O,D,,,,,,,,,,,,,
Pierre Desir,,,,,,,,,,,,,IR,IR,IR,IR
Jack Doyle,,,,,O,,,,,,,,,,,
Matthias Farley,,,,Q,,,,,,,,,,,,
Clayton Geathers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,
Denzelle Good,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Q,,O,O
T.J. Green,,,,,,,Q,Q,,,,,,,,
Nate Hairston,,,,,O,,,,,,,,,O,,
Johnathan Hankins,,,,,,,,,,,,,,,,O
T.Y. Hilton,,,,,,,,,,Q,,,,,,
Krishawn Hogan,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Malik Hooker,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Margus Hunt,,,,,,,,,,,Q,,,,,
Edwin Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Jones,,,,,D,,,,O,,,,,,,
Kyle Kalis,,,,,,,,,,,Q,,,,,
Ryan Kelly,O,O,O,O,,,Q,Q,,,,IR,IR,IR,IR,IR
Kendall Langford,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Andrew Luck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marlon Mack,,,O,O,,,,,,,,,,,,
Rashaan Melvin,,,,,Q,,,O,,,,IR,IR,IR,IR,IR
Jack Mewhort,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christine Michael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christopher Milton,,,Q,Q,,,,,,,,,Q,,,
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donte Moncrief,,,,,,,,,,,,Q,O,O,O,Q
Darryl Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,
Antonio Morrison,,O,,,,,,,,,,,,,,
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,
Blake Muir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Person,,,,,,,,,,,,,Q,,,
Hassan Ridgeway,,,,,,,,,,,O,O,,,,
Chester Rogers,O,Q,O,O,Q,,,,,,,,,,,
Brian Schwenke,,,,,,,,IR,,,,,,IR,IR,
Ian Silberman,O,,,,,,,,,,,,,,,
John Simon,,,,,,,,O,O,O,,,IR,IR,IR,IR
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Erik Swoope,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Turbin,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Walker,,O,O,O,,O,O,,,,,,,,,
Brandon Williams,,,Q,,,,,,,,,,,,O,IR
Frankie Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quincy Wilson,,,O,O,,,,,O,Q,,,,,,
George Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Earl Wolff,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
