Player,09/12vs. SEA,09/19vs. LAR
Julian Blackmon,,Q
Parris Campbell,,Q
Quartney Davis,,
Sam Ehlinger,,
Eric Fisher,O,Q
T.Y. Hilton,,
JJ Nelson,,
Nick Nelson,,
Quenton Nelson,Q,Q
Dezmon Patmon,,
Kwity Paye,,Q
Danny Pinter,Q,
Michael Pittman Jr.,,Q
Xavier Rhodes,O,O
Braden Smith,,O
Sam Tevi,,
Kemoko Turay,O,
Khari Willis,,Q
Robert Windsor,,
