Player,09/12vs. NWE,09/19vs. BUF
Lynn Bowden Jr.,,
Larnel Coleman,,
Raekwon Davis,,
Will Fuller,,O
Austin Jackson,,
Adam Pankey,,
Tua Tagovailoa,,
Preston Williams,Q,Q
