Player,09/12vs. SFO,09/20vs. GNB
Tim Boyle,,
Michael Brockers,Q,Q
Taylor Decker,O,
Trey Flowers,,Q
Shaun Dion Hamilton,,
Da'Shawn Hand,,
Joel Heath,,
Ifeatu Melifonwu,,
Jeff Okudah,,
Levi Onwuzurike,Q,
AJ Parker,Q,
Kalif Raymond,,Q
Kevin Strong,,O
D'Andre Swift,,Q
Nick Williams,Q,
Tyrell Williams,,O
